starttime	seconds	ctime	dtime	ttime	wait
Fri May 01 15:50:43 2015	1430491843	17	24	40	23
Fri May 01 15:50:07 2015	1430491807	16	24	40	24
Fri May 01 15:50:28 2015	1430491828	17	23	40	23
Fri May 01 15:50:34 2015	1430491834	18	23	40	23
Fri May 01 15:50:30 2015	1430491830	18	22	40	22
Fri May 01 15:50:23 2015	1430491823	14	26	40	26
Fri May 01 15:50:49 2015	1430491849	20	20	40	20
Fri May 01 15:50:36 2015	1430491836	21	19	40	19
Fri May 01 15:50:33 2015	1430491833	20	20	40	20
Fri May 01 15:50:42 2015	1430491842	22	19	40	19
Fri May 01 15:50:12 2015	1430491812	19	22	40	22
Fri May 01 15:50:17 2015	1430491817	14	26	40	26
Fri May 01 15:50:29 2015	1430491829	18	22	40	22
Fri May 01 15:50:41 2015	1430491841	17	24	40	23
Fri May 01 15:50:38 2015	1430491838	20	20	40	20
Fri May 01 15:50:32 2015	1430491832	22	19	40	19
Fri May 01 15:50:20 2015	1430491820	16	25	40	25
Fri May 01 15:50:47 2015	1430491847	22	18	40	18
Fri May 01 15:50:34 2015	1430491834	17	24	40	23
Fri May 01 15:50:42 2015	1430491842	21	20	40	20
Fri May 01 15:50:36 2015	1430491836	17	23	40	23
Fri May 01 15:50:36 2015	1430491836	22	18	40	18
Fri May 01 15:50:25 2015	1430491825	18	23	40	23
Fri May 01 15:50:26 2015	1430491826	15	25	40	25
Fri May 01 15:50:32 2015	1430491832	17	24	40	24
Fri May 01 15:50:39 2015	1430491839	17	23	40	23
Fri May 01 15:50:44 2015	1430491844	21	19	40	19
Fri May 01 15:50:33 2015	1430491833	18	22	40	22
Fri May 01 15:50:28 2015	1430491828	14	26	40	26
Fri May 01 15:50:32 2015	1430491832	23	17	40	17
Fri May 01 15:50:05 2015	1430491805	15	26	40	25
Fri May 01 15:50:16 2015	1430491816	24	17	40	17
Fri May 01 15:50:24 2015	1430491824	17	23	40	23
Fri May 01 15:50:19 2015	1430491819	23	17	40	17
Fri May 01 15:50:33 2015	1430491833	17	23	40	23
Fri May 01 15:50:32 2015	1430491832	19	21	40	21
Fri May 01 15:50:43 2015	1430491843	19	22	40	22
Fri May 01 15:50:25 2015	1430491825	24	16	40	16
Fri May 01 15:50:42 2015	1430491842	18	22	40	22
Fri May 01 15:50:42 2015	1430491842	21	19	40	19
Fri May 01 15:50:34 2015	1430491834	22	18	40	18
Fri May 01 15:50:25 2015	1430491825	23	17	40	17
Fri May 01 15:50:05 2015	1430491805	15	25	40	25
Fri May 01 15:50:43 2015	1430491843	17	24	40	24
Fri May 01 15:50:07 2015	1430491807	15	25	40	25
Fri May 01 15:50:10 2015	1430491810	18	23	40	23
Fri May 01 15:50:34 2015	1430491834	23	18	40	18
Fri May 01 15:50:29 2015	1430491829	17	23	40	23
Fri May 01 15:50:43 2015	1430491843	23	18	40	18
Fri May 01 15:50:37 2015	1430491837	20	20	40	20
Fri May 01 15:50:19 2015	1430491819	24	16	40	16
Fri May 01 15:50:45 2015	1430491845	15	25	40	25
Fri May 01 15:50:33 2015	1430491833	17	23	40	23
Fri May 01 15:50:19 2015	1430491819	20	20	40	20
Fri May 01 15:50:43 2015	1430491843	23	17	40	17
Fri May 01 15:50:34 2015	1430491834	18	23	40	22
Fri May 01 15:50:41 2015	1430491841	19	21	40	21
Fri May 01 15:50:19 2015	1430491819	20	20	40	20
Fri May 01 15:50:12 2015	1430491812	19	22	40	22
Fri May 01 15:50:18 2015	1430491818	19	22	40	22
Fri May 01 15:50:38 2015	1430491838	20	20	40	20
Fri May 01 15:50:38 2015	1430491838	20	20	40	20
Fri May 01 15:50:42 2015	1430491842	21	19	40	19
Fri May 01 15:50:25 2015	1430491825	19	21	41	21
Fri May 01 15:50:23 2015	1430491823	20	21	41	21
Fri May 01 15:50:40 2015	1430491840	19	22	41	22
Fri May 01 15:50:39 2015	1430491839	17	24	41	24
Fri May 01 15:50:10 2015	1430491810	14	26	41	26
Fri May 01 15:50:25 2015	1430491825	24	17	41	17
Fri May 01 15:50:46 2015	1430491846	20	21	41	21
Fri May 01 15:50:42 2015	1430491842	17	23	41	23
Fri May 01 15:50:31 2015	1430491831	16	25	41	25
Fri May 01 15:50:17 2015	1430491817	24	16	41	16
Fri May 01 15:50:37 2015	1430491837	18	22	41	22
